Date,Value,Value USD,Max 7,Min 7,Open 2,Change,Mean Change 7,Drop 7,Up 7,Predict,Prediction,Actual
21-03-2019 19:54,3980.58,3980.36,3980.58,3977.95,3980.36,0.2199999999997999,-0.34428571428575844,4.0,2.0,0.0,0,0
21-03-2019 19:54,3980.36,3979.48,3980.58,3978.06,3979.48,0.8800000000001091,-0.1800000000000312,3.0,3.0,-1.0,0,0
21-03-2019 19:55,3979.48,3978.02,3980.58,3978.06,3978.02,1.4600000000000364,0.005714285714280517,3.0,3.0,-1.0,0,0
21-03-2019 19:56,3978.02,3977.62,3980.58,3978.02,3977.62,0.40000000000009095,0.29857142857144936,2.0,4.0,1.0,1,0
21-03-2019 19:56,3977.62,3977.74,3980.58,3977.62,3977.74,-0.11999999999989086,0.3242857142857766,2.0,4.0,-1.0,0,1
21-03-2019 19:57,3977.74,3978.82,3980.58,3977.62,3978.82,-1.080000000000382,0.25142857142853764,2.0,4.0,-1.0,0,1
21-03-2019 19:57,3978.82,3978.91,3980.58,3977.62,3978.91,-0.08999999999969077,0.23857142857143895,3.0,4.0,-1.0,0,1
21-03-2019 19:58,3978.91,3979.0,3980.36,3977.62,3979.0,-0.09000000000014552,0.19428571428573246,4.0,3.0,-2.0,0,1
21-03-2019 19:58,3979.0,3979.94,3979.48,3977.62,3979.94,-0.9400000000000546,-0.06571428571429092,5.0,2.0,-2.0,0,1
21-03-2019 19:59,3979.94,3980.38,3979.94,3977.62,3980.38,-0.44000000000005457,-0.33714285714287534,6.0,1.0,-2.0,0,1
21-03-2019 19:59,3980.38,3984.17,3980.38,3977.62,3984.17,-3.7899999999999636,-0.9357142857143117,7.0,0.0,-2.0,0,1
21-03-2019 20:00,3984.17,3984.66,3984.17,3977.74,3984.66,-0.4899999999997817,-0.988571428571439,7.0,0.0,-2.0,0,1
21-03-2019 20:01,3984.66,3984.22,3984.66,3978.82,3984.22,0.44000000000005457,-0.7714285714285195,6.0,1.0,0.0,0,0
21-03-2019 20:01,3984.22,3984.7,3984.66,3978.91,3984.7,-0.4800000000000182,-0.827142857142852,6.0,1.0,-2.0,0,1
21-03-2019 20:02,3984.7,3985.17,3984.7,3979.0,3985.17,-0.47000000000025466,-0.8814285714285818,6.0,1.0,-2.0,0,1
21-03-2019 20:03,3985.17,3985.43,3985.17,3979.94,3985.43,-0.25999999999976353,-0.784285714285683,6.0,1.0,-2.0,0,1
21-03-2019 20:03,3985.43,3985.22,3985.43,3980.38,3985.22,0.21000000000003638,-0.6914285714285272,5.0,2.0,0.0,0,0
21-03-2019 20:04,3985.22,3985.5,3985.43,3984.17,3985.5,-0.2800000000002001,-0.1899999999999896,5.0,2.0,-2.0,0,1
21-03-2019 20:04,3985.5,3985.34,3985.5,3984.22,3985.34,0.15999999999985448,-0.09714285714289872,4.0,3.0,0.0,0,0
21-03-2019 20:05,3985.34,3985.53,3985.5,3984.22,3985.53,-0.19000000000005457,-0.18714285714291432,5.0,2.0,-2.0,0,1
21-03-2019 20:05,3985.53,3985.3,3985.53,3984.7,3985.3,0.2300000000000182,-0.08571428571433769,4.0,3.0,0.0,0,0
21-03-2019 20:06,3985.3,3985.29,3985.53,3985.17,3985.29,0.010000000000218279,-0.017142857142841552,3.0,4.0,-1.0,0,0
21-03-2019 20:07,3985.29,3985.58,3985.53,3985.22,3985.58,-0.2899999999999636,-0.021428571428584422,3.0,4.0,-2.0,0,1
21-03-2019 20:07,3985.58,3985.05,3985.58,3985.22,3985.05,0.5299999999997453,0.024285714285659715,3.0,4.0,1.0,1,0
21-03-2019 20:08,3985.05,3984.77,3985.58,3985.05,3984.77,0.2800000000002001,0.10428571428571688,2.0,5.0,1.0,1,0
21-03-2019 20:08,3984.77,3983.45,3985.58,3984.77,3983.45,1.3200000000001637,0.27000000000004676,2.0,5.0,1.0,1,0
21-03-2019 20:09,3983.45,3983.41,3985.58,3983.45,3983.41,0.03999999999996362,0.30285714285719223,1.0,6.0,1.0,1,0
21-03-2019 20:10,3983.41,3982.77,3985.58,3983.41,3982.77,0.6399999999998727,0.3614285714286,1.0,6.0,1.0,1,0
21-03-2019 20:10,3982.77,3983.82,3985.58,3982.77,3983.82,-1.050000000000182,0.2099999999999714,2.0,5.0,-1.0,0,1
21-03-2019 20:11,3983.82,3983.69,3985.58,3982.77,3983.69,0.13000000000010914,0.2699999999999818,1.0,6.0,1.0,1,0
21-03-2019 20:11,3983.69,3983.3,3985.05,3982.77,3983.3,0.38999999999987267,0.25,1.0,6.0,1.0,1,0
21-03-2019 20:12,3983.3,3982.7,3984.77,3982.77,3982.7,0.6000000000003638,0.2957142857143091,1.0,6.0,1.0,1,0
21-03-2019 20:13,3982.7,3982.35,3983.82,3982.7,3982.35,0.34999999999990905,0.15714285714284415,1.0,6.0,1.0,1,0
21-03-2019 20:13,3982.35,3982.51,3983.82,3982.35,3982.51,-0.16000000000030923,0.1285714285713766,2.0,5.0,-1.0,0,1
21-03-2019 20:14,3982.51,3982.52,3983.82,3982.35,3982.52,-0.009999999999763531,0.03571428571428571,3.0,4.0,-1.0,0,1
21-03-2019 20:14,3982.52,3982.17,3983.82,3982.35,3982.17,0.34999999999990905,0.2357142857142987,2.0,5.0,1.0,1,0
21-03-2019 20:15,3982.17,3982.88,3983.69,3982.17,3982.88,-0.7100000000000364,0.11571428571427791,3.0,4.0,-1.0,0,1
21-03-2019 20:16,3982.88,3982.83,3983.3,3982.17,3982.83,0.0500000000001819,0.06714285714289352,3.0,4.0,1.0,1,0
21-03-2019 20:16,3982.83,3983.04,3982.88,3982.17,3983.04,-0.21000000000003638,-0.04857142857144936,4.0,3.0,-2.0,0,1
